"Arrival Block Detail","Departure Block Detail","Touchdown Time","Take Off Time","Arrival Time Actual","Departure Time Actual","Departure Time Scheduled","Arrival Time Scheduled","Delay main reason","Total Delay","First Departure Time","Departure Block Hour","Arrival Time Block","Day Of Week","Flight Date","Airline ID","Airline Code","Aircraft Tail ID","Flight Number","Origin Airport ID","Origin City ID","Origin Airport Code","Origin City Name","Origin State Abr","Origin State Name","Destination Airport ID","Destination City ID","Destination Airport Code","Destination City Name","Destination State Abr","Destination State Name","Departure Delay","Taxi Out","Taxi In","Arrival Delay","Fly Time Scheduled","Fly Time Actual","Distance Miles","Distance Group","Carrier Delay","Weather Delay","Airport Delay","Security Delay","Late Aircraft Delay","Distance Group Name"
"09:00 - 09:59","08:00 - 08:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","8","9","1","2023-02-06 00:00:00","19393","WN","N7720F","1386","1483106","32457","SJC","San Jose, CA","CA","California","1457002","34570","RNO","Reno, NV","NV","Nevada","2","13","2","-4","65","59","188","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","8","9","1","2023-02-06 00:00:00","19393","WN","N923WN","2374","1295407","32575","LGB","Long Beach, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","10","10","5","4","65","59","231","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-07 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","8","9","1","2023-02-06 00:00:00","19393","WN","N8739L","970","1275804","32758","KOA","Kona, HI","HI","Hawaii","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","-1","10","11","2","50","53","163","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","8","9","1","2023-02-13 00:00:00","19393","WN","N943WN","2592","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1080003","32575","BUR","Burbank, CA","CA","California","2","26","2","0","70","68","223","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","8","9","1","2023-02-13 00:00:00","19393","WN","N234WN","814","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1289208","32575","LAX","Los Angeles, CA","CA","California","7","28","7","13","70","76","236","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","8","9","1","2023-02-13 00:00:00","19393","WN","N8802Q","1284","1289208","32575","LAX","Los Angeles, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1","15","4","-1","70","68","236","1","0","0","0","0","0","Less Than 250 Miles"
"09:00 - 09:59","08:00 - 08:59","2023-02-14 00:00:00","2023-02-14 00:00:00","2023-02-13 00:00:00","2023-02-14 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","8","9","1","2023-02-13 00:00:00","19393","WN","N486WN","2320","1080003","32575","BUR","Burbank, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","-2","18","5","3","65","70","223","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N452WN","2751","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1490803","32575","SNA","Santa Ana, CA","CA","California","6","15","4","-4","65","55","226","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N7817J","2818","1320402","31454","MCO","Orlando, FL","FL","Florida","1169706","32467","FLL","Fort Lauderdale, FL","FL","Florida","12","14","3","-2","65","51","177","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N202WN","2182","1530402","33195","TPA","Tampa, FL","FL","Florida","1169706","32467","FLL","Fort Lauderdale, FL","FL","Florida","4","10","5","-9","65","52","197","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N1809U","1502","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","1383002","33830","OGG","Kahului, HI","HI","Hawaii","0","23","4","4","45","49","100","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N968WN","562","1379609","32457","OAK","Oakland, CA","CA","California","1457002","34570","RNO","Reno, NV","NV","Nevada","2","8","2","-7","55","46","181","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N8518R","2839","1389101","32575","ONT","Ontario, CA","CA","California","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","9","15","6","3","65","59","197","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N731SA","576","1125904","30194","DAL","Dallas, TX","TX","Texas","1468305","33214","SAT","San Antonio, TX","TX","Texas","4","13","4","0","70","66","247","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N234WN","5589","1125904","30194","DAL","Dallas, TX","TX","Texas","1042302","30423","AUS","Austin, TX","TX","Texas","4","12","5","-7","65","54","189","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N8546V","1570","1125904","30194","DAL","Dallas, TX","TX","Texas","1226603","31453","IAH","Houston, TX","TX","Texas","1","15","11","-4","70","65","216","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","09:00 - 09:59","2023-02-07 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-07 00:00:00","2023-02-06 00:00:00","2023-02-06 00:00:00","Fly Time","0","2023-02-06 00:00:00","9","10","1","2023-02-06 00:00:00","19393","WN","N8793Q","1077","1383002","33830","OGG","Kahului, HI","HI","Hawaii","1217305","32134","HNL","Honolulu, HI","HI","Hawaii","-10","11","13","2","45","57","100","1","0","0","0","0","0","Less Than 250 Miles"
"10:00 - 10:59","08:00 - 08:59","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","2023-02-13 00:00:00","Fly Time","0","2023-02-13 00:00:00","8","10","1","2023-02-13 00:00:00","19393","WN","N7843A","2005","1288904","32211","LAS","Las Vegas, NV","NV","Nevada","1490803","32575","SNA","Santa Ana, CA","CA","California","8","29","7","11","70","73","226","1","0","0","0","0","0","Less Than 250 Miles"
